Genre,AvgSeconds
"Sci Fi & Fantasy",2911.78303846154
"Science Fiction",2625.54907692308
Drama,2575.28378125
"TV Shows",2145.04102150538
Comedy,1585.26370588235
Metal,309.749443850267
Electronica/Dance,302.9858
"Heavy Metal",297.452928571429
Classical,293.867567567568
Jazz,291.755376923077
